,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1
2,0,0,0,3,2,3,3,4,2,3,2,3,1,1,0,0,0,1,0,0
3,0,1,3,1,2,4,3,2,4,3,3,2,2,3,1,1,1,0,1,0
4,0,1,1,3,3,2,1,4,1,3,4,4,4,5,2,2,1,0,0,1
5,1,2,4,3,6,1,2,4,4,7,2,1,4,6,3,2,0,0,1,0
6,1,2,3,2,2,5,3,2,4,5,4,8,2,5,4,1,1,1,0,0
7,1,2,3,3,1,3,8,4,7,3,3,2,5,7,3,8,1,0,1,2
8,2,3,1,4,2,4,7,4,6,4,9,3,7,7,5,2,3,3,1,0
9,1,2,2,1,1,6,5,2,6,7,13,10,4,7,9,3,1,3,1,0
10,2,1,3,3,3,7,6,3,5,8,8,6,3,7,2,4,1,2,0,0
11,1,2,3,4,2,4,4,7,4,4,8,10,5,5,2,2,2,2,1,0
12,0,0,1,3,2,3,2,8,3,8,4,3,7,4,2,1,0,3,1,0
13,0,1,2,3,3,2,9,4,3,2,3,2,3,3,4,1,2,1,1,1
14,0,1,3,1,1,3,3,3,10,4,4,6,3,2,1,2,2,0,0,0
15,0,1,1,0,3,1,3,5,6,6,3,5,2,2,3,1,0,1,0,0
16,0,0,0,1,2,3,2,4,4,2,1,1,1,1,1,0,0,0,0,0
17,0,0,0,0,0,3,1,2,1,4,2,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
